Yayınlandığı Tarih,Yayınlandığı Gün,Geçerli Olduğu Tarih,Geçerli Olduğu Gün,Kur,Döviz Alış,Döviz Satış
19.01.2018,Cuma,20.01.2018,Cumartesi,EUR,4.6367,4.645
19.01.2018,Cuma,20.01.2018,Cumartesi,GBP,5.246,5.2733
19.01.2018,Cuma,20.01.2018,Cumartesi,CHF,3.9413,3.9666
19.01.2018,Cuma,20.01.2018,Cumartesi,SEK,0.4696,0.47446
19.01.2018,Cuma,20.01.2018,Cumartesi,CAD,3.0384,3.0521
19.01.2018,Cuma,20.01.2018,Cumartesi,KWD,12.5033,12.6669
19.01.2018,Cuma,20.01.2018,Cumartesi,NOK,0.48093,0.48416
19.01.2018,Cuma,20.01.2018,Cumartesi,SAR,1.0073,1.0091
19.01.2018,Cuma,20.01.2018,Cumartesi,JPY,3.4052,3.4278
19.01.2018,Cuma,20.01.2018,Cumartesi,BGN,2.3572,2.388
19.01.2018,Cuma,20.01.2018,Cumartesi,RON,0.98953,1.0025
19.01.2018,Cuma,20.01.2018,Cumartesi,RUB,0.06641,0.06727
19.01.2018,Cuma,20.01.2018,Cumartesi,IRR,0.01026,0.0104
19.01.2018,Cuma,20.01.2018,Cumartesi,CNY,0.58691,0.59459
19.01.2018,Cuma,20.01.2018,Cumartesi,PKR,0.03392,0.03436
19.01.2018,Cuma,21.01.2018,Pazar,USD,3.7777,3.7845
19.01.2018,Cuma,21.01.2018,Pazar,AUD,3.0225,3.0422
19.01.2018,Cuma,21.01.2018,Pazar,DKK,0.6217,0.62476
19.01.2018,Cuma,21.01.2018,Pazar,EUR,4.6367,4.645
19.01.2018,Cuma,21.01.2018,Pazar,GBP,5.246,5.2733
19.01.2018,Cuma,21.01.2018,Pazar,CHF,3.9413,3.9666
19.01.2018,Cuma,21.01.2018,Pazar,SEK,0.4696,0.47446
19.01.2018,Cuma,21.01.2018,Pazar,CAD,3.0384,3.0521
19.01.2018,Cuma,21.01.2018,Pazar,KWD,12.5033,12.6669
19.01.2018,Cuma,21.01.2018,Pazar,NOK,0.48093,0.48416
19.01.2018,Cuma,21.01.2018,Pazar,SAR,1.0073,1.0091
19.01.2018,Cuma,21.01.2018,Pazar,JPY,3.4052,3.4278
19.01.2018,Cuma,21.01.2018,Pazar,BGN,2.3572,2.388
19.01.2018,Cuma,21.01.2018,Pazar,RON,0.98953,1.0025
19.01.2018,Cuma,21.01.2018,Pazar,RUB,0.06641,0.06727
19.01.2018,Cuma,21.01.2018,Pazar,IRR,0.01026,0.0104
